ㅎ2,ymun92,14,0,DELETED
네 안녕하세요,ojw1117,14,1,DELETED
하이염 ,ymun92,14,0,CREATED
네 하이요,ojw1117,14,1,CREATED
누구세용?,ojw1117,14,1,CREATED
ㅣㅏㅓㅏㅣㅓㅣㅓㅣㅏㅓㅣㅏㅁ너이ㅏㅁ너이ㅏㅁ너엄나어ㅣㅁ너ㅣ엄ㄴ어ㅏㅣㄴ머임너임너ㅣㅏ어민ㅇㅁㄴㅇ,ojw1117,14,1,DELETED
해보세요,ymun92,18,0,CREATED
네~ 알려드렸습니다~,ymun92,17,0,DELETED
프로그램 검색에 올려 놨습니다 사용해보세요~,ymun92,17,0,DELETED
프로그램 검색에 올려놨습니다!,ymun92,17,0,CREATED
불가능,ymun92,16,0,CREATED
매일 치킨 드시면 됩니다!,ojw1117,15,1,CREATED
저요!!,ojw1117,11,1,CREATED
ㅠㅠ,ojw1117,10,1,CREATED
최소 100입니당. 태닝 바프 사진 비용 밥 ㅠ ,ojw1117,9,1,DELETED
100정도 들어용 태닝 밥 사진값ㅠ,ojw1117,9,1,CREATED
나두,ojw1117,8,1,CREATED
피자,ojw1117,7,1,CREATED
감사합니다!!,ymun92,15,0,CREATED
피자는 안되나요,ymun92,15,0,CREATED
ㅎㅇㅎㅇ,ymun92,14,0,CREATED
가즈아~,ymun92,11,0,CREATED
윽 감사합니다,ymun92,9,0,CREATED
ㅠㅠㅠㅠㅠ,ymun92,8,0,CREATED
치킨,ymun92,7,0,CREATED
ㅇㅋ,ojw1117,18,1,CREATED
감사합니다,ojw1117,17,1,CREATED
가능,ojw1117,16,1,CREATED
안녕하세요,ojs0828,14,3,DELETED
